cond,seg,net_max,net_rms,hicks_5pct_max,hicks_5pct_rms,hicks_1pct_max_moment_placeholder,section,hicks_1pct_max
15kg_16bpm,7CA,871.3654090692503,713.5346827265384,43.56827045346252,35.67673413632692,,CA,8.713654090692502
15kg_16bpm,8CA,856.8840210807832,713.427798750425,42.84420105403916,35.671389937521255,,CA,8.568840210807833
15kg_16bpm,9CA,858.8615355427669,713.2181514013528,42.943076777138344,35.66090757006764,,CA,8.588615355427669
7kg_10bpm,10AB,780.1061974672912,713.4747185633597,39.00530987336456,35.673735928167986,,AB,7.801061974672912
7kg_10bpm,11AB,788.7559416405539,713.1142725874954,39.4377970820277,35.65571362937477,,AB,7.88755941640554
7kg_10bpm,12AB,781.345879135861,713.9396562337564,39.06729395679305,35.696982811687825,,AB,7.8134587913586095
7kg_10bpm,13AB,825.9338011064362,714.2534261410442,41.29669005532182,35.71267130705221,,AB,8.259338011064363
7kg_10bpm,1AB,860.6071428918116,714.4605216397633,43.03035714459058,35.723026081988166,,AB,8.606071428918115
7kg_10bpm,2AB,872.6962592263537,714.6303209667483,43.63481296131769,35.73151604833742,,AB,8.726962592263538
7kg_10bpm,3AB,876.9134229116728,714.8382806564251,43.845671145583644,35.741914032821256,,AB,8.769134229116728
7kg_10bpm,4AB,863.0827645883306,714.7916177966763,43.15413822941653,35.73958088983382,,AB,8.630827645883306
7kg_10bpm,5AB,879.0774452327264,714.352183925489,43.95387226163632,35.71760919627445,,AB,8.790774452327264
7kg_10bpm,6AB,861.1960027910997,714.6442207028754,43.05980013955499,35.73221103514377,,AB,8.611960027910996
7kg_10bpm,7AB,844.0660004469369,714.6813395770862,42.203300022346845,35.73406697885431,,AB,8.440660004469368
7kg_10bpm,8AB,840.9784139347425,714.366314429792,42.04892069673713,35.7183157214896,,AB,8.409784139347426
7kg_10bpm,10BC,835.8498710457611,713.98043502964,41.79249355228806,35.699021751482,,BC,8.358498710457612
7kg_10bpm,11BC,854.1526686960651,713.7327892669473,42.707633434803256,35.68663946334737,,BC,8.541526686960651
7kg_10bpm,12BC,855.2993896563701,714.017547205019,42.76496948281851,35.70087736025095,,BC,8.5529938965637
7kg_10bpm,13BC,853.0092630596274,713.8928443429697,42.650463152981374,35.69464221714849,,BC,8.530092630596274
7kg_10bpm,1BC,865.6596504006169,714.7353326649694,43.28298252003085,35.73676663324847,,BC,8.656596504006169
7kg_10bpm,2BC,890.6368750120298,715.547227277113,44.531843750601496,35.777361363855654,,BC,8.906368750120299
7kg_10bpm,3BC,887.6315698304511,714.9527558723521,44.38157849152256,35.747637793617606,,BC,8.876315698304511
7kg_10bpm,4BC,891.6395889343435,715.2216932935007,44.58197944671718,35.76108466467504,,BC,8.916395889343434
7kg_10bpm,5BC,878.6025048733345,715.0810961792305,43.93012524366673,35.75405480896153,,BC,8.786025048733345
7kg_10bpm,6BC,885.3532155637429,714.9017772077186,44.26766077818715,35.745088860385934,,BC,8.85353215563743
7kg_10bpm,7BC,867.2394292936474,714.4070724650762,43.36197146468237,35.720353623253814,,BC,8.672394292936474
7kg_10bpm,8BC,848.1245050697981,714.2895948106102,42.40622525348991,35.714479740530514,,BC,8.481245050697982
7kg_10bpm,9BC,832.0570306315274,713.9413182985674,41.60285153157637,35.697065914928366,,BC,8.320570306315274
7kg_10bpm,10CA,834.0505097491875,712.8596057081373,41.70252548745938,35.64298028540687,,CA,8.340505097491876
7kg_10bpm,11CA,837.7922122378691,712.6991873704823,41.88961061189346,35.634959368524115,,CA,8.37792212237869
